Status,Date,Time,Session Type,Teacher Name,School Name,School Level,District,Session Title,volunteer,Organization,volunteer Location,Topic/Theme,Session Link
teacher cancelation,9/19/2023,11:45-12:25pm,Teacher requested,Marie Valencia,Bertram Caruthers Elementary,Elementary,KCKPS (KS),We all have mental health,Nina Cantrell,Kansas City University,Local (KS/MO),Social/Emotional Learning,https://prepkc.nepris.com/app/sessions/104012
successfully completed,9/19/2023,10:45am-11:30am,Teacher requested,Teresa Garcia,,,,Data in Action: Talking about Data Ethics/Privacy,Patrick Marshall,,Local (KS/MO),Data Science,https://prepkc.nepris.com/app/sessions/104117
simulcast,9/19/2023,,,Thomas Jackson,Gloria Willis Middle,Middle,KCKPS (KS),Data in Action: Talking about Data Ethics/Privacy,,,Local (KS/MO),,
simulcast,9/19/2023,,,Don Singleton,Grandview Middle School,Middle,Grandview,Data in Action: Talking about Data Ethics/Privacy,,,Local (KS/MO),,
simulcast,9/19/2023,,,Courtney Young,Center Middle School,Middle,Center,Data in Action: Talking about Data Ethics/Privacy,,,Local (KS/MO),,
successfully completed,9/19/2023,2:15-3:00pm,Teacher requested,Teresa Garcia,,,,Data in Action: Talking about Data Ethics/Privacy (2),Elizabeth Wright,Rockhurst University,Local (KS/MO),Data Science,https://prepkc.nepris.com/app/sessions/104115
simulcast,9/19/2023,,,Thomas Jackson,Gloria Willis Middle,Middle,KCKPS (KS),Data in Action: Talking about Data Ethics/Privacy (2),,,Local (KS/MO),,
simulcast,9/19/2023,,,Don Singleton,Grandview Middle School,Middle,Grandview,Data in Action: Talking about Data Ethics/Privacy (2),,,Local (KS/MO),,
successfully completed,9/19/2023,11:30am-12:15pm,Teacher requested,Courtney Young,Center Middle School,Middle,Center,Data in Action: Talking about Data Ethics/Privacy (4),Linda Pearson,City of Olathe Public Works,Local (KS/MO),Data Science,https://prepkc.nepris.com/app/sessions/104119
white lable completed,9/21/2023,9:30,Teacher requested,Kristina King,Staley High School,High,North Kansas City,This is Your Career - Civil Engineering or Architecture,Christy Weaver,,Not local,Architecture,https://prepkc.nepris.com/app/sessions/104058
white lable completed,9/21/2023,11:45 AM,Teacher requested,Kristina King,Staley High,High,North Kansas City,This is Your Career: Civil Engineering or Architecture,Kristina Lindsey,,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104097
successfully completed,9/21/2023,12:00-12:30pm,Teacher requested,Jill Christensen,TA Edison Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month,Mark Anderson,Oregon State University,Not local,Culturally Responsive,https://prepkc.nepris.com/app/sessions/104099
simulcast,9/21/2023,,,Sean West,TA Edison Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month,,,Not local,,
successfully completed,9/22/2023,11:00-11:45am,Industry chat,Debra Williams,,Elementary,,All About Animal Shelters!,Kari Hurley,Wayside Waifs,Local (KS/MO),Animal Science,https://prepkc.nepris.com/app/sessions/103873
simulcast,9/22/2023,,,Amber Mcdonald,Quindaro Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Kyle Myers,TA Edison Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,John Kennedy,Dobbs Elementary,Elementary,Hickman Mills,All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Brenda Ellis,TA Edison Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Brittany Brooks,Lindbergh Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Brent Johnson,Hazel Grove Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Sara Newman,Ruskin High School,High,Hickman Mills,All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Stacy Silva,Brune Elem,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Sharon Greene MD,Emerson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Joy Lyons,New Stanley Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Steven Bell,Silver City Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Aaron Hines,West Park,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Regina Pena,West Park,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Hannah Thomas,Frances Willard Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Tina Burke,Stony Point South Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Corey Johnson,Stony Point South Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Jordan Ashley,Stony Point South Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Jacqueline Murray,Frank Rushton Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Frank Joyce,Claude Huyck Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Mr. Justin Simon,Emerson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Gregory Abbott,West Park,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Andrew Wilson,Emerson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Lisa Odom,John Fiske Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Andrew Williams,Frank Rushton Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Linda Miller,Allen Village,,Allen Village,All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Daniel Good,John Fiske Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Dr. Suzanne Estrada,Claude Huyck Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Jacob Flores,Emerson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Charles Williams,Frank Rushton Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Sherry Dougherty,Hazel Grove Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Joyce Murray,Hazel Grove Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Cassandra Garrett,Quindaro Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Michael Gonzales,ME Pearson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Richard Mays,ME Pearson Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Victoria Adams,Silver City Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Derrick Smith,Quindaro Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
simulcast,9/22/2023,,,Brandon Watkins,Hazel Grove Elementary,Elementary,KCKPS (KS),All About Animal Shelters!,,,Local (KS/MO),,
successfully completed,9/26/2023,10:00-10:30am,Industry chat,Debra Williams,,High,,How Do I Become a Scientist?,Cassie Jenkins,,Local (KS/MO),Science,https://prepkc.nepris.com/app/industry-chats/103726
teacher cancelation,9/26/2023,,Teacher requested,Deborah Berry,Emerson Elementary,Elementary,KCKPS (KS),Animal Shelter Jobs,Melissa Martinez,,,,https://prepkc.nepris.com/app/sessions/104052
successfully completed,9/27/2023,3:00 PM,Teacher requested,Frank Christian,New Stanley Elementary,Elementary,KCKPS (KS),Learning American Sign Language,Gabriela Jones,,Not local,Culturally Responsive,https://prepkc.nepris.com/app/sessions/104133
simulcast,9/27/2023,,,Peter French,New Stanley Elementary,Elementary,KCKPS (KS),Learning American Sign Language,,,Not local,,
simulcast,9/27/2023,,,Dr. Dakota Tyler,New Stanley Elementary,Elementary,KCKPS (KS),Learning American Sign Language,,,Not local,,
successfully completed,9/27/2023,12:00-12:20pm,Teacher requested,Maria Fields,Eugene Ware Elementary,Elementary,KCKPS (KS),Tall Tales and Fairy Tales,Brandon Robbins,LaunchCrate Publishing,Local (KS/MO),Reading/Writing,https://prepkc.nepris.com/app/sessions/104176
simulcast,9/27/2023,,,Kari Chen,Eugene Ware Elementary,Elementary,KCKPS (KS),Tall Tales and Fairy Tales,,,Local (KS/MO),,
successfully completed,9/28/2023,1:00-1:30pm,Kansas City Series,Debra Williams,,Elementary,,Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,John Flynn,Greater KC Hispanic Dev Fund,Local (KS/MO),College,https://prepkc.nepris.com/app/sessions/104000
simulcast,9/28/2023,,,Jeffrey Garza,ME Pearson Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Mrs. Kristen Nguyen,Douglass Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Wendy Scott,ME Pearson Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Katrina Shannon,ME Pearson Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Randy Hopkins,ME Pearson Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Natalie Carter,Emerson Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Rachael Marquez,Eugene Ware Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Arthur Choi,Silver City Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Ryan Gould,Eugene Ware Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Sean Harris,Welborn Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Sharon Esparza DDS,New Chelsea Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Sylvia Hendricks,New Chelsea Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Teresa Dickerson,New Chelsea Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
simulcast,9/28/2023,,,Matthew Jordan,New Chelsea Elementary,Elementary,KCKPS (KS),Hispanic Heritage Month Highlight: The Hispanic Development Fund and the Importance of College,,,Local (KS/MO),,
successfully completed,9/28/2023,,Industry chat,Debra Williams,,,,Awesome Aquatic Science,Joshua Calhoun,,Not local,Science,https://prepkc.nepris.com/app/sessions/104130
simulcast,9/28/2023,,,Joy Lyons,New Stanley Elementary,Elementary,KCKPS (KS),Awesome Aquatic Science,,,Not local,,
simulcast,9/28/2023,,,Michael Allen,Whittier Elementary,Elementary,KCKPS (KS),Awesome Aquatic Science,,,Not local,,
successfully completed,9/28/2023,12:30-1:00pm,Industry chat,Debra Williams,,Elementary,,PBS Reno Presents: Careers in Media,Tiffany Juarez,PBS Reno,Not local,Theater/Acting,https://prepkc.nepris.com/app/sessions/103958
simulcast,9/28/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,PBS Reno Presents: Careers in Media,,,Not local,,
simulcast,9/28/2023,,,Kathryn Green,Noble Prentis Elementary,Elementary,KCKPS (KS),PBS Reno Presents: Careers in Media,,,Not local,,
simulcast,9/28/2023,,,Erica Berry,Welborn Elementary,Elementary,KCKPS (KS),PBS Reno Presents: Careers in Media,,,Not local,,
simulcast,9/28/2023,,,Jeanne Thompson,Welborn Elementary,Elementary,KCKPS (KS),PBS Reno Presents: Careers in Media,,,Not local,,
simulcast,9/28/2023,,,Christina Hayes,Welborn Elementary,Elementary,KCKPS (KS),PBS Reno Presents: Careers in Media,,,Not local,,
simulcast,9/28/2023,,,Ricardo Higgins,Welborn Elementary,Elementary,KCKPS (KS),PBS Reno Presents: Careers in Media,,,Not local,,
white lable completed,9/29/2023,7:45 AM,Teacher requested,Tyler Skinner,Republic Middle,Middle,Republic,Rollercoaster Engineering and Basic Physics,William Nguyen,,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104142
white lable completed,9/29/2023,8:45 AM,Teacher requested,Tyler Skinner,Republic Middle,Middle,Republic,Rollercoaster Engineering and Basic Physics,William Nguyen,,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104143
white lable completed,9/29/2023,10:45 AM,Teacher requested,Tyler Skinner,Republic Middle,Middle,Republic,Rollercoaster Engineering and Basic Physics,Steven Ford,,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104144
white lable completed,9/29/2023,11:45 AM,Teacher requested,Tyler Skinner,Republic Middle,Middle,Republic,Rollercoaster Engineering and Basic Physics,Steven Ford,Martin & Vleminckx,Not local,Engineering,https://prepkc.nepris.com/app/sessions/104145
white lable completed,9/29/2023,1:00 PM,Teacher requested,Tyler Skinner,Republic Middle,Middle,Republic,Rollercoaster Engineering and Basic Physics,Steven Ford,The Boeing Co (retired),Not local,Engineering,https://prepkc.nepris.com/app/sessions/104146
successfully completed,10/2/2023,2:00 PM,Teacher requested,David Day,John Fiske Elementary,Elementary,KCKPS (KS),Personal Hygiene: Early Adolescence,Donna Ortiz,,Not local,Science,https://prepkc.nepris.com/app/sessions/104053
successfully completed,10/2/2023,12:00-12:45pm,Teacher requested,Amy Murray,John Fiske Elementary,Elementary,KCKPS (KS),Patterns of the Earth and Sky,Michael Palmer,AccuWeather,Local (KS/MO),Weather,https://prepkc.nepris.com/app/sessions/104043
simulcast,10/2/2023,,,Nina Lambert,Quindaro Elementary,Elementary,KCKPS (KS),Patterns of the Earth and Sky,,,Local (KS/MO),,
simulcast,10/2/2023,,,Megan Hawkins,Quindaro Elementary,Elementary,KCKPS (KS),Patterns of the Earth and Sky,,,Local (KS/MO),,
simulcast,10/2/2023,,,Stacey Stewart,John Fiske Elementary,Elementary,KCKPS (KS),Patterns of the Earth and Sky,,,Local (KS/MO),,
simulcast,10/2/2023,,,Jared Phillips,John Fiske Elementary,Elementary,KCKPS (KS),Patterns of the Earth and Sky,,,Local (KS/MO),,
successfully completed,10/3/2023,1:00 PM,Industry chat,Debra Williams,,Elementary,,Saving Endangered Animals,Dawn Clark,,Not local,Animal Science,https://prepkc.nepris.com/app/industry-chats/103815
simulcast,10/3/2023,,,Jonathan Day,New Chelsea Elementary,Elementary,KCKPS (KS),Saving Endangered Animals,,,Not local,,
simulcast,10/3/2023,,,Joy Lyons,New Stanley Elementary,Elementary,KCKPS (KS),Saving Endangered Animals,,,Not local,,
successfully completed,10/4/2023,11:30 AM,Industry chat,Debra Williams,,Elementary,,World Space Week with the US Space Force,Barbara Hall,,Not local,Space,https://prepkc.nepris.com/app/industry-chats/103902
simulcast,10/4/2023,,,Nancy Carroll,Millennium at Santa Fe Elementary,Elementary,Hickman Mills,World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Danielle Elliott,Compass Elementary,Elementary,Hickman Mills,World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Paula Morris,Stony Point North Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Amy Ellis,Stony Point North Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Keith Johnson,ME Pearson Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Tracy Robles,Emerson Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Jason Anderson,West Park,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,David Brown,ME Pearson Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Christina Mcintyre,Banneker Elementary (KS),Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Darren Day,Frances Willard Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Edward Allen,Frances Willard Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Sarah Thomas,Welborn Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,John Lewis,Silver City Elementary,Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Mariah Hester,Ingels Elementary,Elementary,Hickman Mills,World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Haley Michael,Ingels Elementary,Elementary,Hickman Mills,World Space Week with the US Space Force,,,Not local,,
simulcast,10/4/2023,,,Rachel Rodriguez,Banneker Elementary (KS),Elementary,KCKPS (KS),World Space Week with the US Space Force,,,Not local,,
